time,price,volume
2014-01-17,974.59,40727.935
2014-01-18,1025.0075000000002,4497.424999999999
2014-01-19,993.3275,8742.06
2014-01-20,1002.3349999999999,31154.235
2014-01-21,986.255,24588.645
2014-01-22,1021.0625,35538.795
2014-01-23,998.1375,28724.42
2014-01-24,945.7375,38230.42
2014-01-25,964.04,24833.935
2014-01-26,1002.4625,8357.55
2014-01-27,992.3924999999999,10930.71
2014-01-28,950.6125,20365.774999999998
2014-01-29,968.4575,30682.2
2014-01-30,944.8125,28654.170000000002
2014-01-31,953.38,40407.77
2014-02-01,962.425,9717.355000000001
2014-02-02,941.295,7310.14
2014-02-03,951.0574999999999,28402.015
2014-02-04,939.2574999999999,49487.674999999996
2014-02-05,941.535,29949.21
2014-02-06,904.3924999999999,39330.29
2014-02-07,869.6125000000001,47650.505000000005
2014-02-08,835.2775,7451.535000000001
2014-02-09,821.4949999999999,10361.93
2014-02-10,814.0875000000001,26563.605
2014-02-11,861.1925,19218.25
2014-02-12,809.015,23066.370000000003
2014-02-13,806.1525,15411.539999999999
2014-02-14,772.255,25667.98
2014-02-15,762.995,11701.445
2014-02-16,737.2475000000001,8876.755
2014-02-17,738.1700000000001,18649.31
2014-02-18,751.6775,17329.625
2014-02-19,727.2425000000001,27454.625
2014-02-20,700.35,20509.37
2014-02-21,682.4125,20753.364999999998
2014-02-22,722.8925,6970.070000000001
2014-02-23,651.155,12394.105
2014-02-24,722.1825,31181.975
2014-02-25,694.7975,26102.079999999998
2014-02-26,639.95,35398.065
2014-02-27,642.965,30798.25
2014-02-28,661.63,23089.91
2014-03-01,651.15,3758.0150000000003
2014-03-02,659.8875,4948.255
2014-03-03,685.6475,30684.65
2014-03-04,790.8075,36652.815
2014-03-05,1483.8925,28084.81
2014-03-06,733.1175000000001,21078.274999999998
2014-03-07,742.825,26716.67
2014-03-08,714.385,11778.474999999999
2014-03-09,707.5074999999999,15341.96
2014-03-10,714.4025,26157.7
2014-03-11,729.7775,26265.945
2014-03-12,711.95,34892.965000000004
2014-03-13,724.145,19683.045000000002
2014-03-14,795.2625,41024.869999999995
2014-03-15,768.65,8724.345000000001
2014-03-16,755.9125,4293.46
2014-03-17,717.47,23660.37
2014-03-18,700.51,37277.565
2014-03-19,686.7524999999999,25553.015000000003
2014-03-20,679.23,30839.19
2014-03-21,684.0150000000001,24805.01
2014-03-22,637.2975,7025.635
2014-03-23,619.8125,5436.425
2014-03-24,648.7075,25365.565
2014-03-25,656.0025,21567.525
2014-03-26,707.8475000000001,33992.985
2014-03-27,627.6475,42533.665
2014-03-28,616.585,17798.7
2014-03-29,577.925,5897.805
2014-03-30,565.675,8030.05
2014-03-31,524.4875,18237.13
2014-04-01,531.56,28901.094999999998
2014-04-02,539.765,21469.699999999997
2014-04-03,525.675,17112.660000000003
2014-04-04,497.16499999999996,13237.18
2014-04-05,491.78999999999996,5600.805
2014-04-06,497.6675,5847.335
2014-04-07,510.9325,40490.265
2014-04-08,506.7025,18526.025
2014-04-09,501.4525,30573.7
2014-04-10,502.595,33583.950000000004
2014-04-11,443.605,40655.795
2014-04-12,495.24,11289.755
2014-04-13,479.38,8012.55
2014-04-14,488.665,28934.5
2014-04-15,525.9575,37481.689999999995
2014-04-16,558.95,34801.595
2014-04-17,567.9925,27584.285
2014-04-18,563.97,3666.1899999999996
2014-04-19,565.0125,12335.735
2014-04-20,552.21,6640.075
2014-04-21,570.385,8890.710000000001
2014-04-22,547.34,33166.84
2014-04-23,551.675,27149.815
2014-04-24,562.6675,33022.705
2014-04-25,676.855,8393.699999999999
2014-04-26,725.77,8564.244999999999
2014-04-27,511.855,6867.445000000001
2014-04-28,497.3225,20625.475
2014-04-29,504.2125,16516.87
2014-04-30,696.8,34407.36
2014-05-01,499.1325,42036.045
2014-05-02,511.905,33353.795
2014-05-03,503.7525,7891.455
2014-05-04,498.21999999999997,130.55065
2014-05-05,496.425,22590.715
2014-05-06,491.40999999999997,22609.825
2014-05-07,488.72749999999996,33143.59
2014-05-08,494.2625,26090.825
2014-05-09,495.0125,32369.755
2014-05-10,502.72749999999996,12430.465
2014-05-11,489.565,13504.46
2014-05-12,470.25,28606.76
2014-05-13,492.95750000000004,34907.12
2014-05-14,492.5725,39282.535
2014-05-15,499.9775,41027.385
2014-05-16,490.7825,29235.515000000003
2014-05-17,499.975,11367.37
2014-05-18,510.9,0.0
2014-05-19,507.32500000000005,756.495
2014-05-20,495.6925,48872.915
2014-05-21,525.6725,52408.2
2014-05-22,575.0350000000001,44426.020000000004
2014-05-23,573.51,29738.144999999997
2014-05-24,578.1324999999999,10180.215
2014-05-25,630.0799999999999,9758.265
2014-05-26,643.33,46689.939999999995
2014-05-27,644.2425000000001,29089.440000000002
2014-05-28,665.4449999999999,35057.07
2014-05-29,643.9175,46192.225
2014-05-30,657.66,50380.195
2014-05-31,671.05,9067.615
2014-06-01,697.355,8490.4
2014-06-02,809.7325000000001,45634.185
2014-06-03,736.3625,44556.155
2014-06-04,748.1575,35840.29
2014-06-05,720.375,49044.835
2014-06-06,724.0375,66200.63
2014-06-07,728.0124999999999,5106.570000000001
2014-06-08,748.0925,5144.905
2014-06-09,750.5375,9600.715
2014-06-10,718.3725,34778.875
2014-06-11,717.2524999999999,35241.215
2014-06-12,698.1600000000001,29020.345
2014-06-13,684.67,45458.745
2014-06-14,686.85,14774.585000000001
2014-06-15,664.6675,6274.1449999999995
2014-06-16,660.9525,61332.165
2014-06-17,671.1899999999999,21373.545
2014-06-18,714.0575,32745.08
2014-06-19,706.375,31589.73
2014-06-20,676.7774999999999,31762.655000000002
2014-06-21,631.5325,6789.9400000000005
2014-06-22,662.0425,3764.575
2014-06-23,676.5775,38536.99
2014-06-24,677.2524999999999,26462.64
2014-06-25,682.0949999999999,36857.51
2014-06-26,622.3675,23702.72
2014-06-27,659.9575,40573.86
2014-06-28,665.315,8871.03
2014-06-29,643.41,3908.96
2014-06-30,678.46,24676.2
2014-07-01,690.635,36258.86
2014-07-02,701.4775,36238.425
2014-07-03,727.6424999999999,28196.32
2014-07-04,690.0450000000001,24110.17
2014-07-05,691.875,12541.324999999999
2014-07-06,764.61,6761.145
2014-07-07,674.5675000000001,43569.21
2014-07-08,705.52,25710.215
2014-07-09,668.0325,36505.195
2014-07-10,687.7725,22151.03
2014-07-11,704.5899999999999,47512.35
2014-07-12,673.7175,2955.29
2014-07-13,710.0,3487.1299999999997
2014-07-14,679.6949999999999,31990.024999999998
2014-07-15,697.4275,42935.615
2014-07-16,666.36,38138.945
2014-07-17,672.5325,45202.850000000006
2014-07-18,681.1625,31679.149999999998
2014-07-19,672.9175,7829.955
2014-07-20,644.5550000000001,9833.845
2014-07-21,689.1324999999999,73513.20499999999
2014-07-22,703.01,39807.735
2014-07-23,675.74,32448.81
2014-07-24,675.83,21685.65
2014-07-25,669.47,29052.275
2014-07-26,671.1925,10319.395
2014-07-27,642.09,9259.039999999999
2014-07-28,655.0175,38530.645
2014-07-29,648.6075000000001,27979.78
2014-07-30,668.365,22598.61
2014-07-31,668.71,21523.059999999998
2014-08-01,675.5925,26558.015
2014-08-02,697.745,4534.7
2014-08-03,653.8775,7548.9800000000005
2014-08-04,650.1049999999999,32916.78
2014-08-05,644.0425,37930.425
2014-08-06,659.2950000000001,42878.405000000006
2014-08-07,687.4224999999999,35771.565
2014-08-08,674.7225,33747.965000000004
2014-08-09,640.8275,9512.554999999998
2014-08-10,667.1475,7030.96
2014-08-11,691.5025,35105.695
2014-08-12,680.1575,61808.15
2014-08-13,614.915,41737.69
2014-08-14,657.3050000000001,23388.920000000002
2014-08-15,606.965,22730.715
2014-08-16,617.265,9265.34
2014-08-17,577.4549999999999,10784.359999999999
2014-08-18,596.135,47911.01
2014-08-19,590.65,60835.62
